id,employee_id,date_taken,taken_by,file_taken_time,documents_taken,status_of_documents,taken_by_email,expected_return_date
30,45308,11/30/2022,SPG,11.20am,"Aadhar Card, Passport Photo, PAN Card",Returned - Archive 25,shobhamj@manipalgroup.info,26/07/2025
31,20339,11/30/2022,Bindiya,1.05pm,"Passport Photo, PAN Card",Returned - Archive 69,shobhamj@manipalgroup.info,24/07/2025
32,15628,11/30/2022,Ashoka,5.20pm,"PAN Card, EPF Form",Returned - Archive 59,spg@manipalgroup.info,28/07/2025
33,41546,12/2/2022,Ashoka,11.40am,NDA Declaration,Returned - Archive 92,ashoka@manipalgroup.info,10/07/2025
34,20323,12/5/2022,mariem,11.41am,"Passport Photo, NDA Declaration, Aadhar Card, Employment Form",Returned - Archive 38,ashoka@manipalgroup.info,20/07/2025
35,11022,6-Dec,Bindiya,9.49am,"PAN Card, Passport Photo, EPF Form, Appointment Letter",Returned - Archive 92,mariem@manipalgroup.info,10/07/2025
36,28170,12/6/2022,mariem,11.22am,"Aadhar Card, PAN Card, Passport Photo, EPF Form",Returned - Archive 38,spg@manipalgroup.info,10/07/2025
37,20811,12/6/2022,Shobha M J,11.22am,"Employment Form, PAN Card",Returned - Archive 3,bindiya@manipalgroup.info,12/07/2025
38,28322,12/6/2022,mariem,11.22am,"Appointment Letter, Employment Form",Returned - Archive 5,spg@manipalgroup.info,20/07/2025
39,15577,12/6/2022,mariem,11.22am,"PAN Card, Aadhar Card, Appointment Letter",Returned - Archive 31,spg@manipalgroup.info,20/07/2025
40,20441,12/6/2022,mariem,11.22am,"Passport Photo, Employment Form, Appointment Letter",Returned - Archive 51,bindiya@manipalgroup.info,23/07/2025
41,20753,12/6/2022,Bindiya,11.22am,PAN Card,Returned - Archive 29,spg@manipalgroup.info,23/07/2025
42,20769,12/6/2022,mariem,11.22am,"Employment Form, Appointment Letter",Returned - Archive 2,shobhamj@manipalgroup.info,23/07/2025
43,40751,12/6/2022,Ashoka,11.22am,"Appointment Letter, Aadhar Card, EPF Form",Returned - Archive 97,shobhamj@manipalgroup.info,15/07/2025
44,28148,12/6/2022,SPG,11.22am,"Employment Form, PAN Card, NDA Declaration",Returned - Archive 23,shobhamj@manipalgroup.info,25/07/2025
45,10357,12/6/2022,Bindiya,11.22am,Aadhar Card,Returned - Archive 12,shobhamj@manipalgroup.info,25/07/2025
46,28166,12/6/2022,Bindiya,11.22am,"Aadhar Card, NDA Declaration, Employment Form, PAN Card",Returned - Archive 44,ashoka@manipalgroup.info,16/07/2025
47,28168,12/6/2022,SPG,11.22am,"Employment Form, PAN Card, EPF Form, Appointment Letter",Returned - Archive 12,ashoka@manipalgroup.info,16/07/2025
48,28318,12/6/2022,Bindiya,11.22am,"PAN Card, Passport Photo",Returned - Archive 45,bindiya@manipalgroup.info,10/07/2025
49,28370,12/6/2022,SPG,11.22am,Appointment Letter,Returned - Archive 32,spg@manipalgroup.info,26/07/2025
50,28369,12/6/2022,Bindiya,11.22am,"NDA Declaration, EPF Form, Passport Photo, Aadhar Card",Returned - Archive 90,spg@manipalgroup.info,18/07/2025
51,28144,12/6/2022,Shobha M J,11.22am,"Employment Form, NDA Declaration, EPF Form",Returned - Archive 56,spg@manipalgroup.info,27/07/2025
52,28320,12/6/2022,SPG,11.22am,"PAN Card, NDA Declaration, Aadhar Card",Returned - Archive 66,mariem@manipalgroup.info,25/07/2025
53,10214,12/6/2022,Bindiya,11.22am,"Employment Form, Aadhar Card, Passport Photo, Appointment Letter",Returned - Archive 69,ashoka@manipalgroup.info,28/07/2025
54,28210,12/6/2022,Ashoka,11.22am,"NDA Declaration, Passport Photo, Employment Form",Returned - Archive 61,mariem@manipalgroup.info,27/07/2025
55,41235,12/6/2022,Shobha M J,11.22am,"PAN Card, EPF Form",Returned - Archive 42,ashoka@manipalgroup.info,11/07/2025
56,28271,12/6/2022,Ashoka,11.22am,Employment Form,Returned - Archive 65,shobhamj@manipalgroup.info,24/07/2025
57,10242,12/6/2022,Bindiya,11.22am,"EPF Form, PAN Card, Employment Form, Appointment Letter",Returned - Archive 70,spg@manipalgroup.info,17/07/2025
58,45280,12/7/2022,mariem,11-22am,"EPF Form, Aadhar Card",Returned - Archive 72,ashoka@manipalgroup.info,25/07/2025
59,10361,12/7/2022,SPG,11-22am,"EPF Form, Aadhar Card, PAN Card",Returned - Archive 32,shobhamj@manipalgroup.info,16/07/2025
60,65730,12/7/2022,Ashoka,11-22am,"Aadhar Card, NDA Declaration, Employment Form",Returned - Archive 51,shobhamj@manipalgroup.info,24/07/2025
61,87029,12/7/2022,Bindiya,11-22am,"EPF Form, Employment Form",Returned - Archive 70,ashoka@manipalgroup.info,11/07/2025
62,28356,12/9/2022,SPG,10.39am,EPF Form,Returned - Archive 89,ashoka@manipalgroup.info,16/07/2025
63,28376,12/9/2022,SPG,10.39am,"Appointment Letter, Aadhar Card",Returned - Archive 60,shobhamj@manipalgroup.info,27/07/2025
64,28391,12/9/2022,SPG,10.39am,Appointment Letter,Returned - Archive 50,spg@manipalgroup.info,22/07/2025
65,45061-EXIT,12/9/2022,mariem,4.22pm-As per mail,"EPF Form, NDA Declaration",Returned - Archive 99,shobhamj@manipalgroup.info,19/07/2025
66,86098,12/9/2022,mariem,18-07pmn,"NDA Declaration, Appointment Letter, Passport Photo",Returned - Archive 35,mariem@manipalgroup.info,11/07/2025
67,55615,12/12/2022,SPG,2.47pm,"EPF Form, PAN Card",Exit - Archive 41,spg@manipalgroup.info,27/07/2025
68,61282,12/12/2022,SPG,2.47pm,"PAN Card, EPF Form, Appointment Letter",Exit - Archive 34,ashoka@manipalgroup.info,13/07/2025
69,45465,12/12/2022,Shobha M J,2.47pm,Employment Form,Exit - Archive 90,mariem@manipalgroup.info,19/07/2025
70,86117,12/13/2022,Shobha M J,11.43am,"PAN Card, Employment Form, Passport Photo, Aadhar Card",Returned - Archive 7,shobhamj@manipalgroup.info,22/07/2025
71,45598,12/13/2022,Bindiya,11.48am,"NDA Declaration, PAN Card, Appointment Letter",Returned - Archive 40,spg@manipalgroup.info,27/07/2025
72,EXIT-71038,12/13/2022,mariem,12.34pm,"EPF Form, Aadhar Card",Returned - Archive 44,shobhamj@manipalgroup.info,25/07/2025
73,40360,12/13/2022,Ashoka,3.11pm,"EPF Form, Employment Form",Exit - Archive 36,spg@manipalgroup.info,18/07/2025
74,11086,12/13/2022,Ashoka,3.11pm,"EPF Form, PAN Card",Exit - Archive 14,mariem@manipalgroup.info,16/07/2025
75,10254,12/13/2022,Ashoka,3.11pm,"Employment Form, NDA Declaration",Exit - Archive 88,shobhamj@manipalgroup.info,16/07/2025
76,44169,12/13/2022,SPG,3.30p0pm,Aadhar Card,Returned - Archive 25,mariem@manipalgroup.info,15/07/2025
77,41578,12/15/2022,Shobha M J,2.35pm,"Passport Photo, Employment Form",Exit - Archive 94,spg@manipalgroup.info,26/07/2025
78,11212,12/15/2022,SPG,4-11pm,"Aadhar Card, Appointment Letter",Returned - Archive 35,shobhamj@manipalgroup.info,11/07/2025
79,45366,12/16/2022,Ashoka,10.30am,"Appointment Letter, EPF Form",Exit - Archive 70,shobhamj@manipalgroup.info,26/07/2025
80,43314,12/16/2022,SPG,10.30am,"NDA Declaration, Aadhar Card",Exit - Archive 3,spg@manipalgroup.info,27/07/2025
81,EXIT-28079,12/16/2022,mariem,5.38pm,"Employment Form, NDA Declaration, Passport Photo, PAN Card",Returned - Archive 15,shobhamj@manipalgroup.info,27/07/2025
82,OLD-10242,12/16/2022,Bindiya,5.38pm,"Passport Photo, Aadhar Card, PAN Card",Returned - Archive 90,bindiya@manipalgroup.info,27/07/2025
83,42021,12/17/2022,Ashoka,3.21pm,"Aadhar Card, PAN Card",Returned - Archive 75,mariem@manipalgroup.info,19/07/2025
84,44966,12/20/2022,SPG,12.15pm,"EPF Form, Passport Photo, Appointment Letter",Exit - Archive 73,mariem@manipalgroup.info,12/07/2025
85,11101,12/20/2022,Ashoka,12.15pm,"EPF Form, Appointment Letter",Exit - Archive 44,shobhamj@manipalgroup.info,15/07/2025
86,45584,12/20/2022,Ashoka,2.40pm,"PAN Card, EPF Form, Passport Photo",Exit - Archive 19,mariem@manipalgroup.info,13/07/2025
87,86110,12/20/2022,Ashoka,2.40pm,"Aadhar Card, Passport Photo, Appointment Letter",Exit - Archive 20,ashoka@manipalgroup.info,22/07/2025
88,44471,12/20/2022,Ashoka,2.40pm,"Appointment Letter, EPF Form, Passport Photo, Employment Form",Exit - Archive 41,spg@manipalgroup.info,25/07/2025
89,40430,12/20/2022,Shobha M J,4.55pm,PAN Card,Returned - Archive 48,ashoka@manipalgroup.info,18/07/2025
90,44210,12/21/2022,Shobha M J,11.42am,"EPF Form, Employment Form, PAN Card, Passport Photo",Exit - Archive 35,ashoka@manipalgroup.info,27/07/2025
91,45080,12/21/2022,Bindiya,11.42am,"Aadhar Card, PAN Card, Appointment Letter",Exit - Archive 7,spg@manipalgroup.info,19/07/2025
92,55507,12/21/2022,Shobha M J,2.30pm,"Aadhar Card, PAN Card, NDA Declaration, Employment Form",Exit - Archive 42,spg@manipalgroup.info,11/07/2025
93,55301,12/22/2022,Bindiya,10.34am,"Passport Photo, NDA Declaration, Employment Form, Appointment Letter",Exit - Archive 24,spg@manipalgroup.info,27/07/2025
94,11220,12/22/2022,Shobha M J,12.35pm,NDA Declaration,Exit - Archive 41,ashoka@manipalgroup.info,19/07/2025
95,44360,12/22/2022,Bindiya,12.46pm,"Employment Form, NDA Declaration, Appointment Letter",Returned - Archive 17,ashoka@manipalgroup.info,26/07/2025
96,55049,12/26/2022,SPG,10.33am,Employment Form,Exit - Archive 77,mariem@manipalgroup.info,20/07/2025
97,30634,12/27/2022,Bindiya,12.33pm,"EPF Form, PAN Card, Passport Photo",Exit - Archive 81,mariem@manipalgroup.info,22/07/2025
98,45483,12/27/2022,mariem,12.33pm,"NDA Declaration, PAN Card, EPF Form, Appointment Letter",Exit - Archive 36,mariem@manipalgroup.info,25/07/2025
99,86127,12/28/2022,SPG,4.25pm,"Employment Form, Aadhar Card, NDA Declaration, PAN Card",Returned - Archive 51,bindiya@manipalgroup.info,11/07/2025
100,86128,12/28/2022,SPG,4.25pm,"Aadhar Card, Employment Form, EPF Form, Appointment Letter",Returned - Archive 43,shobhamj@manipalgroup.info,18/07/2025
101,86116,12/28/2022,mariem,5.43pm,Employment Form,Exit - Archive 74,mariem@manipalgroup.info,27/07/2025
102,30313,12/29/2022,Shobha M J,11.09pm,"Employment Form, Appointment Letter",Exit - Archive 70,bindiya@manipalgroup.info,14/07/2025
103,30695,12/29/2022,Bindiya,11.09pm,"EPF Form, Passport Photo, Aadhar Card",Exit - Archive 43,bindiya@manipalgroup.info,17/07/2025
104,55529,12/29/2022,mariem,11.09pm,Appointment Letter,Exit - Archive 42,mariem@manipalgroup.info,25/07/2025
105,55340,12/29/2022,Shobha M J,11.09pm,"Employment Form, PAN Card",Exit - Archive 23,shobhamj@manipalgroup.info,13/07/2025
106,44679,1/2/2022,Shobha M J,10.36am,"EPF Form, Employment Form",Exit - Archive 50,mariem@manipalgroup.info,12/07/2025
107,45023,1/2/2022,SPG,10.40am,"Employment Form, Appointment Letter, PAN Card",Returned - Archive 14,shobhamj@manipalgroup.info,28/07/2025
108,45573,1/3/2023,SPG,12.50pm,"EPF Form, Aadhar Card, Appointment Letter, NDA Declaration",Returned - Archive 93,ashoka@manipalgroup.info,22/07/2025
109,45455,1/3/2023,Bindiya,2.49pm,"PAN Card, EPF Form, Aadhar Card, Passport Photo",Exit - Archive 47,shobhamj@manipalgroup.info,21/07/2025
110,EXIT28369,1/4/2023,Bindiya,11.52am,"PAN Card, Appointment Letter",Returned - Archive 35,bindiya@manipalgroup.info,13/07/2025
111,EXIT--28144,1/4/2023,Ashoka,11.52am,"Aadhar Card, Passport Photo",Returned - Archive 81,ashoka@manipalgroup.info,14/07/2025
112,EXIT--28320,1/4/2023,Bindiya,11.52am,"PAN Card, Employment Form, Passport Photo",Returned - Archive 95,bindiya@manipalgroup.info,11/07/2025
113,EXIT--28210,1/4/2023,Ashoka,11.52am,NDA Declaration,Returned - Archive 82,spg@manipalgroup.info,19/07/2025
114,EXIT--28271,1/4/2023,SPG,11.52am,"Passport Photo, Aadhar Card",Returned - Archive 1,bindiya@manipalgroup.info,10/07/2025
115,EXIT--41235,1/4/2023,SPG,11.52am,Appointment Letter,Returned - Archive 27,spg@manipalgroup.info,18/07/2025
116,EXIT--10214,1/4/2023,Bindiya,11.52am,NDA Declaration,Returned - Archive 91,ashoka@manipalgroup.info,22/07/2025
117,EXIT--15630,1/4/2023,SPG,11.52am,"NDA Declaration, EPF Form, PAN Card, Passport Photo",Returned - Archive 83,ashoka@manipalgroup.info,20/07/2025
118,EXIT--28319,1/4/2023,Shobha M J,11.52am,"Aadhar Card, NDA Declaration, Employment Form",Returned - Archive 45,spg@manipalgroup.info,17/07/2025
119,45276,1/4/2023,Bindiya,11.52am,Passport Photo,Exit - Archive 58,ashoka@manipalgroup.info,13/07/2025
120,55141,1/5/2023,SPG,5.20pm,"Passport Photo, PAN Card, Aadhar Card",Exit - Archive 15,shobhamj@manipalgroup.info,25/07/2025
121,45084,1/7/2020,Bindiya,2.53pm,"Aadhar Card, Passport Photo, Appointment Letter, EPF Form",Exit - Archive 94,mariem@manipalgroup.info,24/07/2025
122,45564,1/10/2022,SPG,12.20am,"Passport Photo, NDA Declaration",Exit - Archive 5,bindiya@manipalgroup.info,17/07/2025
123,42330,1/11/2023,Ashoka,11.15am,PAN Card,Returned - Archive 45,bindiya@manipalgroup.info,12/07/2025
124,45239,1/11/2023,Bindiya,12.17pm,"Aadhar Card, NDA Declaration",Exit - Archive 99,spg@manipalgroup.info,26/07/2025
125,45514,1/11/2023,SPG,5.17pm,"Appointment Letter, Passport Photo, Aadhar Card, EPF Form",Exit - Archive 14,spg@manipalgroup.info,13/07/2025
126,45187,1/12/2023,Ashoka,2.45pm,"EPF Form, NDA Declaration",Exit - Archive 57,spg@manipalgroup.info,19/07/2025
127,44258,1/12/2023,SPG,2.45pm,"PAN Card, EPF Form, Appointment Letter, Passport Photo",Exit - Archive 93,mariem@manipalgroup.info,26/07/2025
128,EXIT-28170,1/13/2023,Bindiya,11.00am,Aadhar Card,Returned - Archive 98,mariem@manipalgroup.info,23/07/2025
129,EXIT-28370,1/13/2023,Shobha M J,11.00am,"Employment Form, NDA Declaration, EPF Form, Passport Photo",Returned - Archive 19,ashoka@manipalgroup.info,17/07/2025
130,EXIT-28322,1/13/2023,SPG,11.00am,"Appointment Letter, PAN Card, Aadhar Card, Employment Form",Returned - Archive 91,ashoka@manipalgroup.info,10/07/2025
131,EXIT-28318,1/13/2023,Bindiya,11.00am,NDA Declaration,Returned - Archive 15,mariem@manipalgroup.info,21/07/2025
132,EXIT-28168,1/13/2023,mariem,11.00am,"PAN Card, Aadhar Card, Employment Form",Returned - Archive 24,bindiya@manipalgroup.info,17/07/2025
133,EXIT-28148,1/13/2023,mariem,11.00am,"Passport Photo, NDA Declaration, Aadhar Card, Appointment Letter",Returned - Archive 94,spg@manipalgroup.info,16/07/2025
134,EXIT-28199,1/13/2023,mariem,11.00am,"EPF Form, Employment Form, PAN Card, NDA Declaration",Returned - Archive 51,ashoka@manipalgroup.info,13/07/2025
135,EXIT-40751,1/13/2023,mariem,11.00am,"NDA Declaration, PAN Card, EPF Form",Returned - Archive 27,ashoka@manipalgroup.info,18/07/2025
136,EXIT-20753,1/13/2023,SPG,11.00am,"Aadhar Card, Passport Photo",Returned - Archive 12,shobhamj@manipalgroup.info,23/07/2025
137,EXIT-20769,1/13/2023,SPG,11.00am,"PAN Card, Passport Photo",Returned - Archive 60,mariem@manipalgroup.info,16/07/2025
138,EXIT-20441,1/13/2023,Shobha M J,11.00am,"Passport Photo, PAN Card, Aadhar Card, NDA Declaration",Returned - Archive 65,ashoka@manipalgroup.info,22/07/2025
139,EXIT-15577,1/13/2023,Bindiya,11.00am,"Aadhar Card, Passport Photo, EPF Form",Returned - Archive 52,ashoka@manipalgroup.info,18/07/2025
140,30614,1/16/2023,mariem,11.22am,"Passport Photo, Employment Form, Appointment Letter, PAN Card",Exit - Archive 36,shobhamj@manipalgroup.info,16/07/2025
141,45549,1/16/2023,Shobha M J,11.22am,"Employment Form, Passport Photo",Exit - Archive 78,ashoka@manipalgroup.info,15/07/2025
142,28169,1/16/2023,Ashoka,2.33pm,"Passport Photo, NDA Declaration",Returned - Archive 77,bindiya@manipalgroup.info,13/07/2025
143,28340,1/16/2023,Shobha M J,2.33pm,"Appointment Letter, EPF Form",Returned - Archive 46,bindiya@manipalgroup.info,22/07/2025
144,45069,1/16/2023,Bindiya,2.35pm,"Appointment Letter, Employment Form, NDA Declaration, Aadhar Card",Exit - Archive 4,mariem@manipalgroup.info,20/07/2025
145,30247,1/17/2023,Shobha M J,5.15pm,Passport Photo,Exit - Archive 37,ashoka@manipalgroup.info,26/07/2025
146,45068,1/18/2023,SPG,11.25am,Employment Form,Returned - Archive 98,ashoka@manipalgroup.info,13/07/2025
147,44319,1/18/2023,Shobha M J,11.28am,"PAN Card, Aadhar Card, Employment Form",Returned - Archive 16,bindiya@manipalgroup.info,21/07/2025
148,45404,1/18/2023,mariem,11.43am,"EPF Form, PAN Card, Passport Photo",Exit - Archive 2,spg@manipalgroup.info,11/07/2025
149,45405,1/21/2023,SPG,3.15pm,Aadhar Card,Returned - Archive 79,mariem@manipalgroup.info,14/07/2025
150,45513,1/21/2023,Shobha M J,3.15pm,Appointment Letter,Returned - Archive 36,spg@manipalgroup.info,16/07/2025
151,43900,1/21/2023,SPG,3.15pm,"Employment Form, EPF Form",Exit - Archive 63,ashoka@manipalgroup.info,27/07/2025
152,28176,1/21/2023,Shobha M J,5.45PM,Aadhar Card,Returned - Archive 51,bindiya@manipalgroup.info,11/07/2025
153,28177,1/21/2023,Ashoka,5.45PM,"Appointment Letter, EPF Form",Returned - Archive 49,ashoka@manipalgroup.info,19/07/2025
154,28171,1/21/2023,SPG,5.45PM,"PAN Card, Appointment Letter, NDA Declaration, Aadhar Card",Returned - Archive 82,mariem@manipalgroup.info,27/07/2025
155,28264,1/21/2023,Shobha M J,5.45PM,"Passport Photo, PAN Card",Returned - Archive 82,mariem@manipalgroup.info,28/07/2025
156,28331,1/21/2023,SPG,5.45PM,"Aadhar Card, PAN Card",Returned - Archive 75,ashoka@manipalgroup.info,27/07/2025
157,28165,1/21/2023,mariem,5.45PM,"PAN Card, Appointment Letter, Employment Form, EPF Form",Returned - Archive 64,shobhamj@manipalgroup.info,18/07/2025
158,28178,1/21/2023,Bindiya,5.45PM,Employment Form,Returned - Archive 80,ashoka@manipalgroup.info,24/07/2025
159,28172,1/21/2023,Shobha M J,5.45PM,PAN Card,Returned - Archive 50,mariem@manipalgroup.info,14/07/2025
160,28164,1/21/2023,Shobha M J,5.45PM,"Passport Photo, Aadhar Card",Returned - Archive 58,shobhamj@manipalgroup.info,12/07/2025
161,28393,1/23/2023,mariem,5.55pm,"Aadhar Card, EPF Form, Appointment Letter",Returned - Archive 83,shobhamj@manipalgroup.info,19/07/2025
162,28394,1/23/2023,Bindiya,5.55pm,"Appointment Letter, Employment Form, PAN Card",Returned - Archive 82,shobhamj@manipalgroup.info,13/07/2025
163,28395,1/23/2023,Shobha M J,5.55pm,Passport Photo,Returned - Archive 3,bindiya@manipalgroup.info,19/07/2025
164,28396,1/23/2023,Bindiya,5.55pm,"EPF Form, Passport Photo",Returned - Archive 2,bindiya@manipalgroup.info,20/07/2025
165,28397,1/23/2023,Ashoka,5.55pm,"Employment Form, Aadhar Card",Returned - Archive 18,bindiya@manipalgroup.info,27/07/2025
166,28398,1/23/2023,SPG,5.55pm,"Passport Photo, Employment Form, EPF Form, NDA Declaration",Returned - Archive 14,ashoka@manipalgroup.info,25/07/2025
167,28399,1/23/2023,mariem,5.55pm,Employment Form,Returned - Archive 59,shobhamj@manipalgroup.info,15/07/2025
168,28400,1/23/2023,SPG,5.55pm,"Employment Form, Passport Photo, Aadhar Card, PAN Card",Returned - Archive 60,ashoka@manipalgroup.info,18/07/2025
169,42012,1/24/2023,Ashoka,0506pm,"Appointment Letter, Passport Photo",Exit - Archive 4,bindiya@manipalgroup.info,20/07/2025
170,61283,1/25/2023,Shobha M J,12.51pm,"Appointment Letter, PAN Card, NDA Declaration",Exit - Archive 26,shobhamj@manipalgroup.info,13/07/2025
171,15562,1/25/2023,Shobha M J,0506pm,"Aadhar Card, Employment Form, EPF Form, Passport Photo",Returned - Archive 80,mariem@manipalgroup.info,13/07/2025
172,14005,1/25/2023,Ashoka,0506pm,"Appointment Letter, Passport Photo, PAN Card, NDA Declaration",Returned - Archive 3,bindiya@manipalgroup.info,20/07/2025
173,45301,1/27/2023,SPG,1.52pm,Aadhar Card,Exit - Archive 34,mariem@manipalgroup.info,19/07/2025
174,42683,1/27/2023,Bindiya,1.52pm,"PAN Card, Employment Form, Passport Photo",Exit - Archive 41,shobhamj@manipalgroup.info,20/07/2025
175,45562,1/27/2023,mariem,1.52pm,Employment Form,Exit - Archive 13,ashoka@manipalgroup.info,14/07/2025
176,45521,1/30/2023,Ashoka,12.45pm,"PAN Card, Passport Photo",Exit - Archive 48,bindiya@manipalgroup.info,10/07/2025
177,30862,1/31/2023,Ashoka,3.28pm,"Appointment Letter, PAN Card",Returned - Archive 45,bindiya@manipalgroup.info,18/07/2025
178,45369,2/1/2023,Ashoka,11.04am,"Employment Form, Passport Photo, PAN Card",Exit - Archive 6,mariem@manipalgroup.info,25/07/2025
179,15572,2/2/2023,SPG,5.47pm,"Passport Photo, Appointment Letter",Returned - Archive 37,shobhamj@manipalgroup.info,26/07/2025
180,45398,2/3/2023,mariem,4.01pm,"Employment Form, Passport Photo, EPF Form",Exit - Archive 29,ashoka@manipalgroup.info,22/07/2025
181,30501,2/4/2023,Shobha M J,12.16pm,"NDA Declaration, Passport Photo, Appointment Letter, Aadhar Card",Exit - Archive 45,ashoka@manipalgroup.info,20/07/2025
182,44794,2/6/2023,Ashoka,12.00pm,"Aadhar Card, Passport Photo, NDA Declaration, EPF Form",Exit - Archive 5,bindiya@manipalgroup.info,17/07/2025
183,45557,2/6/2023,Ashoka,12.00pm,"NDA Declaration, Passport Photo, Appointment Letter, Employment Form",Exit - Archive 79,shobhamj@manipalgroup.info,23/07/2025
184,30824,2/6/2023,Ashoka,12.00pm,"Passport Photo, NDA Declaration, Aadhar Card, PAN Card",Exit - Archive 51,shobhamj@manipalgroup.info,15/07/2025
185,45305,2/6/2023,SPG,12.15pm,"EPF Form, Appointment Letter",Exit - Archive 13,ashoka@manipalgroup.info,18/07/2025
186,44594,2/6/2023,Bindiya,12.20pm,Aadhar Card,Returned - Archive 59,mariem@manipalgroup.info,15/07/2025
187,28267,2/6/2023,mariem,5.58pm,"Employment Form, PAN Card",Returned - Archive 84,shobhamj@manipalgroup.info,12/07/2025
188,28353,2/6/2023,Ashoka,5.58pm,"Employment Form, Appointment Letter, Passport Photo, PAN Card",Returned - Archive 25,bindiya@manipalgroup.info,22/07/2025
189,28235,2/6/2023,SPG,5.58pm,"EPF Form, Employment Form, Appointment Letter, NDA Declaration",Returned - Archive 77,shobhamj@manipalgroup.info,26/07/2025
190,30867,2/7/2023,Shobha M J,4.30pm,"Passport Photo, EPF Form",Returned - Archive 81,shobhamj@manipalgroup.info,19/07/2025
191,55268,2/8/2023,SPG,2.10pm,"Employment Form, Aadhar Card, Passport Photo, PAN Card",Exit - Archive 27,ashoka@manipalgroup.info,18/07/2025
192,28296,2/8/2023,Ashoka,3.40pm,PAN Card,Returned - Archive 55,bindiya@manipalgroup.info,22/07/2025
193,45543,2/9/2023,Bindiya,11.35am,"Appointment Letter, NDA Declaration",Exit - Archive 95,bindiya@manipalgroup.info,27/07/2025
